Methane,Humidity,Temperature,Pressure,Altitude,Latitude & Longitude,Latitude,Longitude,Latitude (decimal),Longitude (decimal)
368.46,41.24,18.33,1020.24,-58.04,49 19.17820 -124 19.03224,49 19.17820,-124 19.03224,49.31964,-123.6828
368.46,41.23,18.33,1020.21,-58.02,49 19.17852 -124 19.03190,49 19.17852,-124 19.03190,49.31964,-123.6828
368.46,41.21,18.33,1020.25,-57.73,49 19.17741 -124 19.03218,49 19.17741,-124 19.03218,49.31962,-123.6828
368.46,41.18,18.33,1020.21,-57.99,49 19.17675 -124 19.03179,49 19.17675,-124 19.03179,49.31961,-123.6828
368.46,41.16,18.34,1020.23,-57.81,49 19.17532 -124 19.03355,49 19.17532,-124 19.03355,49.31959,-123.68277
368.46,41.13,18.34,1020.23,-57.8,49 19.17437 -124 19.03424,49 19.17437,-124 19.03424,49.31957,-123.68276
368.46,41.1,18.34,1020.22,-57.79,49 19.17607 -124 19.03431,49 19.17607,-124 19.03431,49.3196,-123.68276
368.46,41.07,18.34,1020.19,-57.91,49 19.17613 -124 19.03437,49 19.17613,-124 19.03437,49.3196,-123.68276
368.46,41.05,18.34,1020.14,-57.82,49 19.17726 -124 19.03441,49 19.17726,-124 19.03441,49.31962,-123.68276
366.02,41.02,18.34,1020.19,-57.83,49 19.17714 -124 19.03298,49 19.17714,-124 19.03298,49.31962,-123.68278
368.46,41,18.35,1020.23,-57.71,49 19.17695 -124 19.03287,49 19.17695,-124 19.03287,49.31962,-123.68279
368.46,40.98,18.35,1020.22,-57.7,49 19.17706 -124 19.03215,49 19.17706,-124 19.03215,49.31962,-123.6828
368.46,40.97,18.35,1020.2,-57.79,49 19.17911 -124 19.03287,49 19.17911,-124 19.03287,49.31965,-123.68279
366.02,40.95,18.36,1020.23,-57.8,49 19.17877 -124 19.03338,49 19.17877,-124 19.03338,49.31965,-123.68278
368.46,40.97,18.36,1020.19,-57.77,49 19.17896 -124 19.03377,49 19.17896,-124 19.03377,49.31965,-123.68277
368.46,40.99,18.36,1020.2,-57.87,49 19.17884 -124 19.03374,49 19.17884,-124 19.03374,49.31965,-123.68277
368.46,41.01,18.36,1020.21,-58.03,49 19.17825 -124 19.03437,49 19.17825,-124 19.03437,49.31964,-123.68276
368.46,41.15,18.37,1020.22,-57.83,49 19.17847 -124 19.03526,49 19.17847,-124 19.03526,49.31964,-123.68275
368.46,41.25,18.38,1020.22,-57.7,49 19.17775 -124 19.03603,49 19.17775,-124 19.03603,49.31963,-123.68273
368.46,41.27,18.38,1020.2,-57.72,49 19.18296 -124 19.03399,49 19.18296,-124 19.03399,49.31972,-123.68277
368.46,41.3,18.39,1020.23,-57.58,49 19.18516 -124 19.03285,49 19.18516,-124 19.03285,49.31975,-123.68279
368.46,41.34,18.39,1020.23,-57.71,49 19.18691 -124 19.03422,49 19.18691,-124 19.03422,49.31978,-123.68276
368.46,41.34,18.4,1020.19,-58.08,49 19.18741 -124 19.03341,49 19.18741,-124 19.03341,49.31979,-123.68278
368.46,41.34,18.4,1020.19,-57.79,49 19.18659 -124 19.03337,49 19.18659,-124 19.03337,49.31978,-123.68278
368.46,41.32,18.4,1020.21,-57.96,49 19.18666 -124 19.03445,49 19.18666,-124 19.03445,49.31978,-123.68276
368.46,41.27,18.4,1020.21,-57.86,49 19.18778 -124 19.03552,49 19.18778,-124 19.03552,49.3198,-123.68274
368.46,41.24,18.4,1020.22,-58.1,49 19.18976 -124 19.03628,49 19.18976,-124 19.03628,49.31983,-123.68273
368.46,41.2,18.41,1020.23,-57.81,49 19.19023 -124 19.03605,49 19.19023,-124 19.03605,49.31984,-123.68273
368.46,41.18,18.41,1020.22,-57.71,49 19.19023 -124 19.03420,49 19.19023,-124 19.03420,49.31984,-123.68276
368.46,41.16,18.41,1020.21,-57.72,49 19.19085 -124 19.03302,49 19.19085,-124 19.03302,49.31985,-123.68278
368.46,41.13,18.41,1020.21,-57.58,49 19.19027 -124 19.02978,49 19.19027,-124 19.02978,49.31984,-123.68284
368.46,41.11,18.41,1020.22,-57.82,49 19.18796 -124 19.02978,49 19.18796,-124 19.02978,49.3198,-123.68284
368.46,41.09,18.41,1020.19,-57.71,49 19.18620 -124 19.03041,49 19.18620,-124 19.03041,49.31977,-123.68283
368.46,41.06,18.42,1020.19,-57.45,49 19.18514 -124 19.03140,49 19.18514,-124 19.03140,49.31975,-123.68281
368.46,41.21,18.41,1020.16,-57.29,49 19.18520 -124 19.03189,49 19.18520,-124 19.03189,49.31975,-123.6828
368.46,41.23,18.42,1020.13,-57.43,49 19.18662 -124 19.03204,49 19.18662,-124 19.03204,49.31978,-123.6828
366.02,41.39,18.43,1020.18,-57.47,49 19.18754 -124 19.03253,49 19.18754,-124 19.03253,49.31979,-123.68279
368.46,41.42,18.43,1020.16,-57.38,49 19.18749 -124 19.03298,49 19.18749,-124 19.03298,49.31979,-123.68278
366.02,41.24,18.43,1020.15,-57.45,49 19.18973 -124 19.03420,49 19.18973,-124 19.03420,49.31983,-123.68276
366.02,41.15,18.43,1020.18,-57.6,49 19.18957 -124 19.03315,49 19.18957,-124 19.03315,49.31983,-123.68278
366.02,40.76,18.38,1020.21,-57.68,49 19.19035 -124 19.03323,49 19.19035,-124 19.03323,49.31984,-123.68278
366.02,39.71,18.27,1020.19,-57.36,49 19.19030 -124 19.03360,49 19.19030,-124 19.03360,49.31984,-123.68277
366.02,39.45,18.17,1020.15,-57.31,49 19.19084 -124 19.03438,49 19.19084,-124 19.03438,49.31985,-123.68276
366.02,39.19,18.05,1020.13,-57.06,49 19.19148 -124 19.03454,49 19.19148,-124 19.03454,49.31986,-123.68276
366.02,39.03,17.91,1020.09,-56.77,49 19.19144 -124 19.03634,49 19.19144,-124 19.03634,49.31986,-123.68273
366.02,39.04,17.77,1020.06,-56.51,49 19.19099 -124 19.03860,49 19.19099,-124 19.03860,49.31985,-123.68269
363.57,39.09,17.62,1020.07,-56.62,49 19.19114 -124 19.04034,49 19.19114,-124 19.04034,49.31985,-123.68266
363.57,39.31,17.45,1020.03,-56.48,49 19.19141 -124 19.04219,49 19.19141,-124 19.04219,49.31986,-123.68263
363.57,39.65,17.24,1020.02,-56.44,49 19.19170 -124 19.04445,49 19.19170,-124 19.04445,49.31986,-123.68259
363.57,39.97,17.04,1020.06,-56.31,49 19.19192 -124 19.04776,49 19.19192,-124 19.04776,49.31987,-123.68254
363.57,40.53,16.84,1020.04,-56.69,49 19.19159 -124 19.04966,49 19.19159,-124 19.04966,49.31986,-123.68251
361.13,40.74,16.62,1020.04,-56.5,49 19.19087 -124 19.05186,49 19.19087,-124 19.05186,49.31985,-123.68247
363.57,40.88,16.47,1020.04,-56.19,49 19.19019 -124 19.05392,49 19.19019,-124 19.05392,49.31984,-123.68243
361.13,41.03,16.33,1020,-55.93,49 19.18897 -124 19.05470,49 19.18897,-124 19.05470,49.31982,-123.68242
361.13,41.3,16.15,1020.04,-56.36,49 19.18842 -124 19.05476,49 19.18842,-124 19.05476,49.31981,-123.68242
363.57,41.65,15.97,1020.03,-56.36,49 19.18829 -124 19.05466,49 19.18829,-124 19.05466,49.3198,-123.68242
363.57,42.03,15.85,1020.01,-56.32,49 19.18819 -124 19.05431,49 19.18819,-124 19.05431,49.3198,-123.68243
363.57,42.21,15.67,1020.01,-56.17,49 19.18812 -124 19.05425,49 19.18812,-124 19.05425,49.3198,-123.68243
363.57,42.49,15.42,1020.02,-56.01,49 19.18737 -124 19.05468,49 19.18737,-124 19.05468,49.31979,-123.68242
363.57,42.91,15.21,1020.02,-56.09,49 19.18786 -124 19.05546,49 19.18786,-124 19.05546,49.3198,-123.68241
366.02,43.21,15.1,1020.02,-56.25,49 19.18780 -124 19.05565,49 19.18780,-124 19.05565,49.3198,-123.68241
363.57,43.39,14.99,1020.06,-56.32,49 19.18774 -124 19.05571,49 19.18774,-124 19.05571,49.3198,-123.6824
363.57,43.64,14.84,1020.03,-56.29,49 19.18771 -124 19.05614,49 19.18771,-124 19.05614,49.3198,-123.6824
363.57,43.84,14.75,1020.03,-56.38,49 19.18775 -124 19.05642,49 19.18775,-124 19.05642,49.3198,-123.68239
363.57,44.05,14.66,1020.04,-56.59,49 19.18770 -124 19.05689,49 19.18770,-124 19.05689,49.3198,-123.68239
366.02,44.25,14.58,1020.05,-56.59,49 19.18756 -124 19.05695,49 19.18756,-124 19.05695,49.31979,-123.68238
366.02,44.38,14.51,1020.05,-56.58,49 19.18735 -124 19.05702,49 19.18735,-124 19.05702,49.31979,-123.68238
363.57,44.49,14.41,1020.04,-56.32,49 19.18729 -124 19.05713,49 19.18729,-124 19.05713,49.31979,-123.68238
363.57,44.59,14.35,1020.07,-56.5,49 19.18726 -124 19.05728,49 19.18726,-124 19.05728,49.31979,-123.68238
363.57,44.66,14.29,1020.05,-56.3,49 19.18708 -124 19.05731,49 19.18708,-124 19.05731,49.31978,-123.68238
363.57,44.79,14.22,1020.06,-56.54,49 19.18700 -124 19.05733,49 19.18700,-124 19.05733,49.31978,-123.68238
363.57,44.91,14.16,1020.05,-56.67,49 19.18702 -124 19.05733,49 19.18702,-124 19.05733,49.31978,-123.68238
363.57,45.04,14.11,1020.07,-56.62,49 19.18683 -124 19.05737,49 19.18683,-124 19.05737,49.31978,-123.68238
363.57,45.26,14.05,1020.09,-56.68,49 19.18686 -124 19.05732,49 19.18686,-124 19.05732,49.31978,-123.68238
363.57,45.4,14,1020.1,-56.75,49 19.18692 -124 19.05733,49 19.18692,-124 19.05733,49.31978,-123.68238
363.57,45.51,13.95,1020.06,-56.7,49 19.18695 -124 19.05728,49 19.18695,-124 19.05728,49.31978,-123.68238
363.57,45.58,13.88,1020.07,-56.41,49 19.18695 -124 19.05721,49 19.18695,-124 19.05721,49.31978,-123.68238
363.57,45.76,13.84,1020.09,-56.59,49 19.18704 -124 19.05714,49 19.18704,-124 19.05714,49.31978,-123.68238
363.57,45.92,13.79,1020.06,-56.5,49 19.18711 -124 19.05714,49 19.18711,-124 19.05714,49.31979,-123.68238
363.57,46.07,13.73,1020.05,-56.46,49 19.18723 -124 19.05714,49 19.18723,-124 19.05714,49.31979,-123.68238
363.57,46.14,13.69,1020.06,-56.44,49 19.18710 -124 19.05713,49 19.18710,-124 19.05713,49.31979,-123.68238
363.57,46.23,13.64,1020.03,-56.54,49 19.18702 -124 19.05710,49 19.18702,-124 19.05710,49.31978,-123.68238
363.57,46.32,13.59,1020.04,-56.45,49 19.18711 -124 19.05712,49 19.18711,-124 19.05712,49.31979,-123.68238
363.57,46.43,13.55,1020.06,-56.52,49 19.18714 -124 19.05714,49 19.18714,-124 19.05714,49.31979,-123.68238
363.57,46.48,13.5,1020.01,-56.32,49 19.18732 -124 19.05713,49 19.18732,-124 19.05713,49.31979,-123.68238
363.57,46.56,13.44,1020.04,-56.48,49 19.18767 -124 19.05720,49 19.18767,-124 19.05720,49.31979,-123.68238
363.57,46.72,13.4,1020.07,-56.79,49 19.18774 -124 19.05727,49 19.18774,-124 19.05727,49.3198,-123.68238
361.13,46.82,13.36,1020.04,-56.43,49 19.18789 -124 19.05743,49 19.18789,-124 19.05743,49.3198,-123.68238
363.57,46.91,13.31,1020.02,-56.58,49 19.18798 -124 19.05745,49 19.18798,-124 19.05745,49.3198,-123.68238
361.13,47.01,13.27,1020.07,-56.33,49 19.18812 -124 19.05743,49 19.18812,-124 19.05743,49.3198,-123.68238
361.13,47.13,13.24,1020.05,-56.52,49 19.18814 -124 19.05743,49 19.18814,-124 19.05743,49.3198,-123.68238
361.13,47.17,13.2,1020.05,-56.81,49 19.18818 -124 19.05740,49 19.18818,-124 19.05740,49.3198,-123.68238
361.13,47.23,13.17,1020.07,-56.49,49 19.18820 -124 19.05743,49 19.18820,-124 19.05743,49.3198,-123.68238
361.13,47.33,13.13,1020.07,-56.45,49 19.18819 -124 19.05741,49 19.18819,-124 19.05741,49.3198,-123.68238
361.13,47.53,13.08,1020.07,-56.26,49 19.18828 -124 19.05735,49 19.18828,-124 19.05735,49.3198,-123.68238
361.13,47.69,13.03,1020.09,-56.63,49 19.18826 -124 19.05720,49 19.18826,-124 19.05720,49.3198,-123.68238
361.13,47.85,12.99,1020.05,-56.48,49 19.18819 -124 19.05705,49 19.18819,-124 19.05705,49.3198,-123.68238
361.13,47.98,12.95,1020.03,-56.36,49 19.18819 -124 19.05701,49 19.18819,-124 19.05701,49.3198,-123.68238
361.13,48.14,12.92,1020.03,-56.36,49 19.18815 -124 19.05694,49 19.18815,-124 19.05694,49.3198,-123.68238
361.13,48.35,12.88,1020.11,-56.73,49 19.18815 -124 19.05682,49 19.18815,-124 19.05682,49.3198,-123.68239
361.13,48.57,12.85,1020.07,-56.67,49 19.18819 -124 19.05672,49 19.18819,-124 19.05672,49.3198,-123.68239
361.13,48.73,12.82,1020.05,-56.79,49 19.18820 -124 19.05662,49 19.18820,-124 19.05662,49.3198,-123.68239
361.13,48.88,12.79,1020.04,-56.53,49 19.18825 -124 19.05655,49 19.18825,-124 19.05655,49.3198,-123.68239
361.13,49.03,12.74,1020.06,-56.72,49 19.18828 -124 19.05642,49 19.18828,-124 19.05642,49.3198,-123.68239
363.57,49.26,12.71,1020.08,-56.53,49 19.18835 -124 19.05636,49 19.18835,-124 19.05636,49.31981,-123.68239
361.13,49.43,12.68,1020.08,-56.9,49 19.18838 -124 19.05632,49 19.18838,-124 19.05632,49.31981,-123.68239
363.57,49.61,12.65,1020.11,-56.87,49 19.18845 -124 19.05631,49 19.18845,-124 19.05631,49.31981,-123.68239
363.57,49.8,12.62,1020.1,-56.73,49 19.18846 -124 19.05632,49 19.18846,-124 19.05632,49.31981,-123.68239
363.57,49.92,12.6,1020.12,-56.77,49 19.18852 -124 19.05634,49 19.18852,-124 19.05634,49.31981,-123.68239
363.57,50.05,12.55,1020.08,-56.68,49 19.18855 -124 19.05634,49 19.18855,-124 19.05634,49.31981,-123.68239
363.57,50.24,12.52,1020.1,-56.76,49 19.18861 -124 19.05635,49 19.18861,-124 19.05635,49.31981,-123.68239
363.57,50.55,12.5,1020.09,-56.65,49 19.18863 -124 19.05625,49 19.18863,-124 19.05625,49.31981,-123.6824
363.57,50.8,12.47,1020.05,-56.52,49 19.18852 -124 19.05607,49 19.18852,-124 19.05607,49.31981,-123.6824
363.57,50.95,12.44,1020.1,-56.76,49 19.18856 -124 19.05594,49 19.18856,-124 19.05594,49.31981,-123.6824
363.57,51.04,12.43,1020.06,-56.81,49 19.18857 -124 19.05590,49 19.18857,-124 19.05590,49.31981,-123.6824
363.57,51.1,12.4,1020.07,-56.55,49 19.18853 -124 19.05573,49 19.18853,-124 19.05573,49.31981,-123.6824
363.57,51.18,12.37,1020.07,-56.51,49 19.18841 -124 19.05568,49 19.18841,-124 19.05568,49.31981,-123.68241
363.57,51.36,12.34,1020,-56.57,49 19.18836 -124 19.05568,49 19.18836,-124 19.05568,49.31981,-123.68241
363.57,51.49,12.31,1020.06,-56.51,49 19.18833 -124 19.05570,49 19.18833,-124 19.05570,49.31981,-123.68241
363.57,51.73,12.28,1020.05,-56.56,49 19.18828 -124 19.05599,49 19.18828,-124 19.05599,49.3198,-123.6824
363.57,51.92,12.26,1020.04,-56.73,49 19.18822 -124 19.05636,49 19.18822,-124 19.05636,49.3198,-123.68239
363.57,51.98,12.23,1020.05,-56.73,49 19.18866 -124 19.05733,49 19.18866,-124 19.05733,49.31981,-123.68238
363.57,52.05,12.2,1020.08,-56.43,49 19.18878 -124 19.05762,49 19.18878,-124 19.05762,49.31981,-123.68237
363.57,52.13,12.18,1020.07,-56.94,49 19.18880 -124 19.05771,49 19.18880,-124 19.05771,49.31981,-123.68237
366.02,52.28,12.16,1020.05,-56.72,49 19.18872 -124 19.05775,49 19.18872,-124 19.05775,49.31981,-123.68237
363.57,52.37,12.14,1020.07,-56.57,49 19.18846 -124 19.05788,49 19.18846,-124 19.05788,49.31981,-123.68237
363.57,52.38,12.12,1020.11,-56.99,49 19.18836 -124 19.05780,49 19.18836,-124 19.05780,49.31981,-123.68237
363.57,52.4,12.09,1020.08,-56.86,49 19.18868 -124 19.05776,49 19.18868,-124 19.05776,49.31981,-123.68237
363.57,52.38,11.89,1020.08,-56.8,49 19.18892 -124 19.05755,49 19.18892,-124 19.05755,49.31982,-123.68237
363.57,52.56,12.03,1020.11,-56.73,49 19.18887 -124 19.05725,49 19.18887,-124 19.05725,49.31981,-123.68238
363.57,52.63,12.01,1020.12,-56.79,49 19.18873 -124 19.05726,49 19.18873,-124 19.05726,49.31981,-123.68238
363.57,52.82,11.98,1020.08,-56.83,49 19.18871 -124 19.05735,49 19.18871,-124 19.05735,49.31981,-123.68238
363.57,52.88,11.95,1020.1,-57.07,49 19.18874 -124 19.05739,49 19.18874,-124 19.05739,49.31981,-123.68238
363.57,52.95,11.94,1020.09,-56.81,49 19.18871 -124 19.05736,49 19.18871,-124 19.05736,49.31981,-123.68238
366.02,52.97,11.93,1020.09,-56.77,49 19.18865 -124 19.05749,49 19.18865,-124 19.05749,49.31981,-123.68238
363.57,53.01,11.91,1020.08,-56.81,49 19.18859 -124 19.05756,49 19.18859,-124 19.05756,49.31981,-123.68237
363.57,53.2,11.89,1020.08,-56.69,49 19.18839 -124 19.05770,49 19.18839,-124 19.05770,49.31981,-123.68237
363.57,53.44,11.87,1020.12,-57.16,49 19.18837 -124 19.05787,49 19.18837,-124 19.05787,49.31981,-123.68237
363.57,53.65,11.85,1020.1,-56.65,49 19.18835 -124 19.05791,49 19.18835,-124 19.05791,49.31981,-123.68237
366.02,53.7,11.83,1020.08,-56.76,49 19.18859 -124 19.05813,49 19.18859,-124 19.05813,49.31981,-123.68236
366.02,53.76,11.82,1020.17,-57.55,49 19.18866 -124 19.05830,49 19.18866,-124 19.05830,49.31981,-123.68236
366.02,53.97,11.81,1020.29,-56.43,49 19.18858 -124 19.05822,49 19.18858,-124 19.05822,49.31981,-123.68236
363.57,54.1,11.79,1020.29,-58.39,49 19.18867 -124 19.05820,49 19.18867,-124 19.05820,49.31981,-123.68236
366.02,54.09,11.78,1020.28,-58.4,49 19.18860 -124 19.05803,49 19.18860,-124 19.05803,49.31981,-123.68237
363.57,54.13,11.77,1020.26,-58.09,49 19.18871 -124 19.05796,49 19.18871,-124 19.05796,49.31981,-123.68237
366.02,54.29,11.76,1020.29,-58.34,49 19.18871 -124 19.05795,49 19.18871,-124 19.05795,49.31981,-123.68237
366.02,54.42,11.75,1020.27,-58.3,49 19.18864 -124 19.05785,49 19.18864,-124 19.05785,49.31981,-123.68237
366.02,54.64,11.74,1020.28,-58.39,49 19.18864 -124 19.05775,49 19.18864,-124 19.05775,49.31981,-123.68237
366.02,54.99,11.73,1020.26,-58.23,49 19.18857 -124 19.05771,49 19.18857,-124 19.05771,49.31981,-123.68237
366.02,55.11,11.73,1020.27,-58.36,49 19.18855 -124 19.05770,49 19.18855,-124 19.05770,49.31981,-123.68237
366.02,55.24,11.72,1020.25,-57.97,49 19.18825 -124 19.05777,49 19.18825,-124 19.05777,49.3198,-123.68237
366.02,55.36,11.72,1020.26,-58.1,49 19.18771 -124 19.05773,49 19.18771,-124 19.05773,49.3198,-123.68237
366.02,55.71,11.71,1020.26,-58.24,49 19.18683 -124 19.05802,49 19.18683,-124 19.05802,49.31978,-123.68237
366.02,55.97,11.71,1020.24,-58.14,49 19.18603 -124 19.05857,49 19.18603,-124 19.05857,49.31977,-123.68236
366.02,56.16,11.7,1020.25,-58.14,49 19.18557 -124 19.05915,49 19.18557,-124 19.05915,49.31976,-123.68235
366.02,56.16,11.7,1020.27,-58.21,49 19.18567 -124 19.05872,49 19.18567,-124 19.05872,49.31976,-123.68235
366.02,59.34,11.71,1020.24,-58.37,49 19.18563 -124 19.05535,49 19.18563,-124 19.05535,49.31976,-123.68241
